0, NVIDIA GeForce RTX 3060, 1017 MiB, 12288 MiB, 13 %, 49
1, NVIDIA GeForce RTX 4090, 1671 MiB, 24564 MiB, 41 %, 59
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 8707 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 11 %, 50
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1030 MiB, 12288 MiB, 12 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 14 %, 50
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1016 MiB, 12288 MiB, 13 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1012 MiB, 12288 MiB, 13 %, 50
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1013 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 12 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 50
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 12 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 13 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1014 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1027 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1028 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1028 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1026 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1028 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1030 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1030 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1026 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1015 MiB, 12288 MiB, 12 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1014 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 12 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1026 MiB, 12288 MiB, 13 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1015 MiB, 12288 MiB, 10 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1030 MiB, 12288 MiB, 10 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1030 MiB, 12288 MiB, 12 %, 51
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1029 MiB, 12288 MiB, 14 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 10 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 13 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 14 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1014 MiB, 12288 MiB, 10 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1014 MiB, 12288 MiB, 10 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1014 MiB, 12288 MiB, 12 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1016 MiB, 12288 MiB, 10 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 12 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 12 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 13 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 99 %, 81
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1028 MiB, 12288 MiB, 11 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 52
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 74 %, 65
0, NVIDIA GeForce RTX 3060, 1019 MiB, 12288 MiB, 9 %, 53
1, NVIDIA GeForce RTX 4090, 10787 MiB, 24564 MiB, 0 %, 63
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 11 %, 52
1, NVIDIA GeForce RTX 4090, 1685 MiB, 24564 MiB, 0 %, 59
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 13 %, 52
1, NVIDIA GeForce RTX 4090, 1685 MiB, 24564 MiB, 0 %, 59
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 13 %, 53
1, NVIDIA GeForce RTX 4090, 1685 MiB, 24564 MiB, 0 %, 58
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 52
1, NVIDIA GeForce RTX 4090, 1685 MiB, 24564 MiB, 0 %, 57
