0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 15 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 63
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 63
0, NVIDIA GeForce RTX 3060, 1538 MiB, 12288 MiB, 19 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 65
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 19 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 65
0, NVIDIA GeForce RTX 3060, 1532 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 65
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 19 %, 49
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 65
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 67
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 16 %, 49
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 66
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 15 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 67
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 15 %, 49
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 68
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 15 %, 49
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 69
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 17 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 68
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 17 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 69
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 15 %, 49
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 69
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 71
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 18 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 69
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 19 %, 49
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 69
0, NVIDIA GeForce RTX 3060, 1539 MiB, 12288 MiB, 15 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 71
0, NVIDIA GeForce RTX 3060, 1539 MiB, 12288 MiB, 15 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 71
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 17 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 71
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 17 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 70
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 17 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 19 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 71
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 17 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 71
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 17 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 99 %, 73
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1539 MiB, 12288 MiB, 15 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 6298 MiB, 24564 MiB, 0 %, 61
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 15 %, 50
1, NVIDIA GeForce RTX 4090, 1142 MiB, 24564 MiB, 8 %, 58
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 15 %, 50
1, NVIDIA GeForce RTX 4090, 1322 MiB, 24564 MiB, 7 %, 57
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 1542 MiB, 24564 MiB, 7 %, 55
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 1704 MiB, 24564 MiB, 8 %, 54
0, NVIDIA GeForce RTX 3060, 1545 MiB, 12288 MiB, 20 %, 50
1, NVIDIA GeForce RTX 4090, 1884 MiB, 24564 MiB, 2 %, 54
0, NVIDIA GeForce RTX 3060, 1545 MiB, 12288 MiB, 14 %, 50
1, NVIDIA GeForce RTX 4090, 2084 MiB, 24564 MiB, 3 %, 53
0, NVIDIA GeForce RTX 3060, 1545 MiB, 12288 MiB, 15 %, 50
1, NVIDIA GeForce RTX 4090, 2284 MiB, 24564 MiB, 14 %, 53
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 2484 MiB, 24564 MiB, 33 %, 52
0, NVIDIA GeForce RTX 3060, 1539 MiB, 12288 MiB, 29 %, 50
1, NVIDIA GeForce RTX 4090, 2644 MiB, 24564 MiB, 16 %, 52
0, NVIDIA GeForce RTX 3060, 1539 MiB, 12288 MiB, 15 %, 50
1, NVIDIA GeForce RTX 4090, 2824 MiB, 24564 MiB, 30 %, 52
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 2966 MiB, 24564 MiB, 32 %, 51
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 3126 MiB, 24564 MiB, 16 %, 51
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 19 %, 50
1, NVIDIA GeForce RTX 4090, 3326 MiB, 24564 MiB, 22 %, 51
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 3546 MiB, 24564 MiB, 29 %, 51
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 18 %, 50
1, NVIDIA GeForce RTX 4090, 3706 MiB, 24564 MiB, 19 %, 51
0, NVIDIA GeForce RTX 3060, 1539 MiB, 12288 MiB, 18 %, 50
1, NVIDIA GeForce RTX 4090, 3906 MiB, 24564 MiB, 21 %, 50
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 18 %, 50
1, NVIDIA GeForce RTX 4090, 4106 MiB, 24564 MiB, 30 %, 50
0, NVIDIA GeForce RTX 3060, 1531 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 4230 MiB, 24564 MiB, 26 %, 50
0, NVIDIA GeForce RTX 3060, 1546 MiB, 12288 MiB, 19 %, 50
1, NVIDIA GeForce RTX 4090, 12016 MiB, 24564 MiB, 88 %, 58
0, NVIDIA GeForce RTX 3060, 1546 MiB, 12288 MiB, 17 %, 50
1, NVIDIA GeForce RTX 4090, 12016 MiB, 24564 MiB, 97 %, 67
0, NVIDIA GeForce RTX 3060, 1546 MiB, 12288 MiB, 18 %, 50
1, NVIDIA GeForce RTX 4090, 12016 MiB, 24564 MiB, 99 %, 66
0, NVIDIA GeForce RTX 3060, 1546 MiB, 12288 MiB, 14 %, 51
1, NVIDIA GeForce RTX 4090, 12016 MiB, 24564 MiB, 88 %, 58
0, NVIDIA GeForce RTX 3060, 1542 MiB, 12288 MiB, 14 %, 50
1, NVIDIA GeForce RTX 4090, 12016 MiB, 24564 MiB, 98 %, 67
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 18 %, 51
1, NVIDIA GeForce RTX 4090, 12016 MiB, 24564 MiB, 99 %, 67
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 21 %, 51
1, NVIDIA GeForce RTX 4090, 12016 MiB, 24564 MiB, 87 %, 65
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 19 %, 50
1, NVIDIA GeForce RTX 4090, 12016 MiB, 24564 MiB, 98 %, 69
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 12016 MiB, 24564 MiB, 97 %, 70
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 18 %, 50
1, NVIDIA GeForce RTX 4090, 12016 MiB, 24564 MiB, 83 %, 57
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 8380 MiB, 24564 MiB, 63 %, 64
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 15 %, 51
1, NVIDIA GeForce RTX 4090, 9960 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 16 %, 51
1, NVIDIA GeForce RTX 4090, 10400 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 19 %, 51
1, NVIDIA GeForce RTX 4090, 10400 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 24 %, 51
1, NVIDIA GeForce RTX 4090, 10400 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 10400 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 15 %, 51
1, NVIDIA GeForce RTX 4090, 10400 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 19 %, 51
1, NVIDIA GeForce RTX 4090, 10400 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 17 %, 51
1, NVIDIA GeForce RTX 4090, 10400 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 16 %, 51
1, NVIDIA GeForce RTX 4090, 10400 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 16 %, 51
